,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
5,214898.0,854,5.0,4.0,20.0,35.3558096,136.6104588,40.94254744520182,20191101
0,221096.0,1028,14.0,6.0,776.0,35.13842783333333,136.64534836666667,1009.9856422322715,20191101
1,221096.0,1034,6.0,1.0,96.0,35.1396254,136.6501629,458.10505956804155,20191101
2,221096.0,1041,7.0,1.0,20.0,35.1327059,136.6488137,780.0063734763805,20191101
3,221096.0,1046,5.0,4.0,58.0,35.1311693,136.6518999,328.94175097960465,20191101
4,221096.0,1056,10.0,1.0,8.0,35.0584088,136.1050284,50464.23788577963,20191101
5,221096.0,1113,57.0,2.0,40.0,35.1154325,136.630642,48297.38240365212,20191101
6,221096.0,1123,10.0,5.0,75.0,35.1135418,136.6097155,1917.1515670254744,20191101
7,221096.0,1127,4.0,2.0,85.0,35.1157204,136.6058674,426.14682325815477,20191101
8,221096.0,1132,5.0,1.0,15.0,35.1246442,136.6189735,1552.7160870573505,20191101
9,221096.0,1138,6.0,22.0,382.0,35.1304652,136.5971107,2093.3216591369433,20191101
10,221096.0,1143,5.0,1.0,5.0,35.1298687,136.5941405,278.4472602803392,20191101
11,221096.0,1153,10.0,3.0,60.0,35.1355578,136.5816788,1299.3010422535049,20191101
12,221096.0,1221,68.0,2.0,20.0,35.1331557,136.6236951,3834.3988081833522,20191101
0,222657.0,940,11.0,36.0,677.0,35.31220389999999,136.642875,897.7675187061392,20191101
1,222657.0,953,13.0,7.0,130.0,35.3120931,136.6432005,32.03735381473581,20191101
0,222911.0,1053,5.0,1.0,5.0,35.1074255,136.6418623,179.9921194435655,20191101
1,222911.0,1102,49.0,2.0,32.0,35.1055473,136.642539,217.9732893325105,20191101
2,222911.0,1115,13.0,5.0,20.0,35.1067792,136.6404539,234.22940286576758,20191101
3,222911.0,1125,10.0,1.0,10.0,35.1010016,136.6200704,1964.6179712994588,20191101
4,222911.0,1130,5.0,5.0,141.0,35.1010016,136.6200704,0.0,20191101
5,222911.0,1138,8.0,2.0,10.0,35.095705949999996,136.61592760000002,699.9209130281768,20191101
6,222911.0,1148,10.0,3.0,41.0,35.1016389,136.6174848,675.5092173471195,20191101
7,222911.0,1157,9.0,16.0,265.0,35.1003469,136.6178592,147.8116107448154,20191101
8,222911.0,1309,152.0,67.0,965.0,35.100743272222225,136.62215388888893,393.6214060934737,20191101
9,222911.0,1322,13.0,1.0,10.0,35.1041328,136.6176735,555.761143877861,20191101
10,222911.0,1339,17.0,1.0,50.0,35.1073687,136.6330312,1444.2623233995046,20191101
11,222911.0,1344,5.0,16.0,368.0,35.10731955999999,136.6330424,5.563793572345356,20191101
12,222911.0,1349,5.0,1.0,2.0,35.1069881,136.632343,73.60875897617214,20191101
0,231360.0,945,8.0,2.0,30.0,35.3611658,136.5875926,281.077441758119,20191101
